start_station,start_lat,start_lon,end_station,end_lat,end_lon
512,40.7500727,-73.99839279,408,40.71076228,-73.99400398
488,40.75645824,-73.99372222,212,40.74334935,-74.00681753
482,40.73935542,-73.99931783,483,40.73223272,-73.98889957
316,40.70955958,-74.00653609,279,40.707873,-74.00167
508,40.76341379,-73.99667444,519,40.751873,-73.977706
312,40.722055,-73.989111,295,40.71406667,-73.99293911
457,40.76695317,-73.98169333,228,40.7546011,-73.97187886
2002,40.716887,-73.963198,270,40.69308257,-73.97178913
499,40.76915505,-73.98191841,457,40.76695317,-73.98169333
526,40.74765947,-73.98490707,174,40.7381765,-73.97738662
491,40.74096374,-73.98602213,475,40.73524276,-73.98758561
489,40.75066386,-74.00176802,509,40.7454973,-74.00197139
483,40.73223272,-73.98889957,433,40.72955361,-73.98057249
463,40.74206539,-74.00443172,504,40.73221853,-73.98165557
284,40.73901691,-74.00263761,521,40.75044999,-73.99481051
394,40.72521311,-73.97768752,445,40.72740794,-73.98142006
128,40.72710258,-74.00297088,151,40.7218158,-73.99720307
238,40.7361967,-74.00859207,368,40.73038599,-74.00214988
229,40.72743423,-73.99379025,483,40.73223272,-73.98889957
445,40.72740794,-73.98142006,128,40.72710258,-74.00297088
540,40.74147286,-73.98320928,252,40.73226398,-73.99852205
475,40.73524276,-73.98758561,432,40.72621788,-73.98379855
300,40.728145,-73.990214,504,40.73221853,-73.98165557
223,40.73781509,-73.99994661,342,40.71739973,-73.98016555
377,40.72243797,-74.00566443,376,40.70862144,-74.00722156
3002,40.711512,-74.015756,304,40.70463334,-74.01361706
368,40.73038599,-74.00214988,150,40.7208736,-73.98085795
368,40.73038599,-74.00214988,150,40.7208736,-73.98085795
312,40.722055,-73.989111,368,40.73038599,-74.00214988
476,40.74394314,-73.97966069,487,40.73314259,-73.97573881
476,40.74394314,-73.97966069,487,40.73314259,-73.97573881
284,40.73901691,-74.00263761,509,40.7454973,-74.00197139
350,40.71559509,-73.9870295,348,40.72490985,-74.00154702
354,40.69363137,-73.96223558,389,40.71044554,-73.96525063
161,40.72917025,-73.99810231,394,40.72521311,-73.97768752
488,40.75645824,-73.99372222,479,40.76019252,-73.9912551
410,40.72066442,-73.98517977,511,40.72938685,-73.97772429
494,40.74734825,-73.99723551,540,40.74147286,-73.98320928
463,40.74206539,-74.00443172,247,40.73535398,-74.00483091
532,40.710451,-73.960876,313,40.69610226,-73.96751037
477,40.75640548,-73.9900262,458,40.751396,-74.005226
355,40.71602118,-73.99974372,486,40.7462009,-73.98855723
236,40.7284186,-73.98713956,143,40.69239502,-73.99337909
428,40.72467721,-73.98783413,476,40.74394314,-73.97966069
428,40.72467721,-73.98783413,393,40.72299208,-73.97995466
439,40.7262807,-73.98978041,476,40.74394314,-73.97966069
483,40.73223272,-73.98889957,503,40.73827428,-73.98751968
403,40.72502876,-73.99069656,223,40.73781509,-73.99994661
504,40.73221853,-73.98165557,2022,40.75849116,-73.95920622
463,40.74206539,-74.00443172,357,40.73261787,-73.99158043
463,40.74206539,-74.00443172,357,40.73261787,-73.99158043
147,40.71542197,-74.01121978,317,40.72453734,-73.98185424
504,40.73221853,-73.98165557,536,40.74144387,-73.97536082
504,40.73221853,-73.98165557,536,40.74144387,-73.97536082
312,40.722055,-73.989111,151,40.7218158,-73.99720307
461,40.73587678,-73.98205027,515,40.76009437,-73.99461843
