start_station,start_lat,start_lon,end_station,end_lat,end_lon
536,40.74144387,-73.97536082,326,40.72953837,-73.98426726
312,40.722055,-73.989111,349,40.71850211,-73.98329859
164,40.75323098,-73.97032517,524,40.75527307,-73.98316936
545,40.736502,-73.97809472,229,40.72743423,-73.99379025
147,40.71542197,-74.01121978,386,40.71494807,-74.00234482
311,40.7172274,-73.98802084,351,40.70530954,-74.00612572
257,40.71939226,-74.00247214,311,40.7172274,-73.98802084
476,40.74394314,-73.97966069,382,40.73492695,-73.99200509
476,40.74394314,-73.97966069,382,40.73492695,-73.99200509
3002,40.711512,-74.015756,147,40.71542197,-74.01121978
407,40.700469,-73.991454,428,40.72467721,-73.98783413
427,40.701907,-74.013942,318,40.75320159,-73.9779874
128,40.72710258,-74.00297088,195,40.70905623,-74.01043382
476,40.74394314,-73.97966069,492,40.75019995,-73.99093085
434,40.74317449,-74.00366443,284,40.73901691,-74.00263761
473,40.72110063,-73.9919254,251,40.72317958,-73.99480012
518,40.74780373,-73.9734419,528,40.74290902,-73.97706058
444,40.7423543,-73.98915076,128,40.72710258,-74.00297088
453,40.74475148,-73.99915362,463,40.74206539,-74.00443172
302,40.72082834,-73.97793172,2009,40.71117444,-73.99682619
502,40.714215,-73.981346,307,40.71427487,-73.98990025
509,40.7454973,-74.00197139,546,40.74444921,-73.98303529
450,40.76227205,-73.98788205,512,40.7500727,-73.99839279
502,40.714215,-73.981346,263,40.71729,-73.996375
545,40.736502,-73.97809472,433,40.72955361,-73.98057249
433,40.72955361,-73.98057249,394,40.72521311,-73.97768752
529,40.7575699,-73.99098507,478,40.76030096,-73.99884222
157,40.69089272,-73.99612349,467,40.68312489,-73.97895137
157,40.69089272,-73.99612349,467,40.68312489,-73.97895137
361,40.71605866,-73.99190759,268,40.71910537,-73.99973337
355,40.71602118,-73.99974372,537,40.74025878,-73.98409214
341,40.71782143,-73.97628939,311,40.7172274,-73.98802084
489,40.75066386,-74.00176802,512,40.7500727,-73.99839279
512,40.7500727,-73.99839279,435,40.74173969,-73.99415556
433,40.72955361,-73.98057249,382,40.73492695,-73.99200509
433,40.72955361,-73.98057249,545,40.736502,-73.97809472
387,40.71273266,-74.0046073,345,40.73649403,-73.99704374
355,40.71602118,-73.99974372,537,40.74025878,-73.98409214
412,40.7158155,-73.99422366,274,40.68691865,-73.976682
293,40.73028666,-73.9907647,302,40.72082834,-73.97793172
340,40.71269042,-73.98776323,296,40.71413089,-73.9970468
504,40.73221853,-73.98165557,394,40.72521311,-73.97768752
480,40.76669671,-73.99061728,490,40.751551,-73.993934
157,40.69089272,-73.99612349,143,40.69239502,-73.99337909
251,40.72317958,-73.99480012,473,40.72110063,-73.9919254
3002,40.711512,-74.015756,79,40.71911552,-74.00666661
358,40.73291553,-74.00711384,340,40.71269042,-73.98776323
331,40.71173107,-73.99193043,317,40.72453734,-73.98185424
527,40.744023,-73.976056,482,40.73935542,-73.99931783
385,40.75797322,-73.96603308,457,40.76695317,-73.98169333
238,40.7361967,-74.00859207,284,40.73901691,-74.00263761
492,40.75019995,-73.99093085,518,40.74780373,-73.9734419
212,40.74334935,-74.00681753,453,40.74475148,-73.99915362
310,40.68926942,-73.98912867,387,40.71273266,-74.0046073
502,40.714215,-73.981346,340,40.71269042,-73.98776323
300,40.728145,-73.990214,534,40.70255065,-74.0127234
529,40.7575699,-73.99098507,520,40.75992262,-73.97648516
445,40.72740794,-73.98142006,325,40.73624527,-73.98473765
245,40.69327018,-73.97703874,416,40.68753406,-73.97265183
527,40.744023,-73.976056,2003,40.73416059,-73.98024289
160,40.748238,-73.978311,527,40.744023,-73.976056
334,40.74238787,-73.99726235,305,40.76095756,-73.96724467
430,40.7014851,-73.98656928,313,40.69610226,-73.96751037
265,40.72229346,-73.99147535,265,40.72229346,-73.99147535
366,40.693261,-73.968896,275,40.68650065,-73.96563307
369,40.73224119,-74.00026394,2004,40.724399,-74.004704
291,40.713126,-73.984844,361,40.71605866,-73.99190759
295,40.71406667,-73.99293911,307,40.71427487,-73.98990025
150,40.7208736,-73.98085795,340,40.71269042,-73.98776323
369,40.73224119,-74.00026394,369,40.73224119,-74.00026394
