station_id,name,lat,lon,bikes_out,bikes_in,color
79,Franklin St & W Broadway,40.71911552,-74.00666661,1,0,#3DA1E6
82,St James Pl & Pearl St,40.71117416,-74.00016545,0,1,#4AF4CA
83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,1,0,#CFB9A5
116,W 17 St & 8 Ave,40.74177603,-74.00149746,0,1,#051CBA
150,E 2 St & Avenue C,40.7208736,-73.98085795,0,1,#898D80
151,Cleveland Pl & Spring St,40.7221037867,-73.9972490072,1,0,#835668
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,2,0,#698DF1
164,E 47 St & 2 Ave,40.75323098,-73.97032517,1,1,#F9A9A4
167,E 39 St & 3 Ave,40.7489006,-73.97604882,1,0,#987AD3
228,E 48 St & 3 Ave,40.7546011,-73.97187886,2,0,#F1DA43
229,Great Jones St,40.72743423,-73.99379025,2,0,#6509B8
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,0,2,#373EC2
237,E 11 St & 2 Ave,40.73047309,-73.98672378,0,2,#52F5D9
238,Bank St & Washington St,40.7361967,-74.00859207,1,0,#B78A80
239,Willoughby St & Fleet St,40.69196566,-73.9813018,1,0,#54E025
245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,0,1,#7D3D31
253,W 13 St & 5 Ave,40.73543934,-73.99453948,1,0,#A8C7F5
264,Maiden Ln & Pearl St,40.70706456,-74.00731853,0,1,#773158
265,Stanton St & Chrystie St,40.72229346,-73.99147535,1,1,#689665
266,Avenue D & E 8 St,40.72368361,-73.97574813,0,1,#98885D
270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,0,1,#3E16A0
280,E 10 St & 5 Ave,40.73331967,-73.99510132,1,0,#FB6349
284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,0,1,#BC06F0
285,Broadway & E 14 St,40.73454567,-73.99074142,2,0,#D78F51
293,Lafayette St & E 8 St,40.73028666,-73.9907647,1,0,#EEE99D
295,Pike St & E Broadway,40.71406667,-73.99293911,0,1,#30A715
300,Shevchenko Pl & E 7 St,40.728145,-73.990214,0,1,#CD3D48
302,Avenue D & E 3 St,40.72082834,-73.97793172,0,1,#B57B31
308,St James Pl & Oliver St,40.71307916,-73.99851193,1,1,#1F59B6
310,State St & Smith St,40.68926942,-73.98912867,1,0,#90B2E2
311,Norfolk St & Broome St,40.7172274,-73.98802084,1,0,#1B08F2
312,Allen St & E Houston St,40.722055,-73.989111,1,0,#3C6C8A
321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,1,0,#E344E6
331,Pike St & Monroe St,40.71173107,-73.99193043,0,1,#19890A
334,W 20 St & 7 Ave,40.74238787,-73.99726235,1,0,#84CB1C
348,W Broadway & Spring St,40.72490985,-74.00154702,0,1,#BFBA5B
354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,0,1,#0C7D80
355,Bayard St & Baxter St,40.71602118,-73.99974372,0,1,#086770
366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,0,1,#E77BEB
367,E 53 St & Lexington Ave,40.75828065,-73.97069431,1,0,#815876
368,Carmine St & 6 Ave,40.73038599,-74.00214988,1,1,#1663DB
376,John St & William St,40.70862144,-74.00722156,1,0,#77D558
377,6 Ave & Canal St,40.72243797,-74.00566443,3,0,#8E7B5A
379,W 31 St & 7 Ave,40.749156,-73.9916,0,1,#60825A
380,W 4 St & 7 Ave S,40.73401143,-74.00293877,1,0,#5304BE
384,Fulton St & Washington Ave,40.683048,-73.964915,0,1,#1A4092
385,E 55 St & 2 Ave,40.75797322,-73.96603308,0,1,#32F51E
386,Centre St & Worth St,40.71494807,-74.00234482,1,0,#45E4A1
393,E 5 St & Avenue C,40.72299208,-73.97995466,1,0,#BD7029
395,Bond St & Schermerhorn St,40.68807003,-73.98410637,1,0,#79154B
398,Atlantic Ave & Furman St,40.69165183,-73.9999786,0,1,#54DA57
399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,0,1,#E83E3E
401,Allen St & Rivington St,40.72019576,-73.98997825,0,3,#8E8775
402,Broadway & E 22 St,40.7403432,-73.98955109,1,0,#33D9D6
410,Suffolk St & Stanton St,40.72066442,-73.98517977,1,1,#B761C9
412,Forsyth St & Canal St,40.7158155,-73.99422366,0,1,#CCC6D4
414,Pearl St & Anchorage Pl,40.70281858,-73.98765762,1,0,#BF484C
415,Pearl St & Hanover Square,40.7047177,-74.00926027,1,2,#ABB1CE
416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,1,0,#5719C0
423,W 54 St & 9 Ave,40.76584941,-73.98690506,1,0,#F3E3D7
435,W 21 St & 6 Ave,40.74173969,-73.99415556,0,1,#9260C6
438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,1,0,#FDD4DF
439,E 4 St & 2 Ave,40.7262807,-73.98978041,2,0,#15DE1C
440,E 45 St & 3 Ave,40.75255434,-73.97282625,1,0,#8279FC
445,E 10 St & Avenue A,40.72740794,-73.98142006,2,3,#3B8E1B
449,W 52 St & 9 Ave,40.76461837,-73.98789473,1,1,#663CE6
450,W 49 St & 8 Ave,40.76227205,-73.98788205,0,1,#F0A434
455,1 Ave & E 44 St,40.75001986,-73.96905301,1,0,#412214
457,Broadway & W 58 St,40.76695317,-73.98169333,0,1,#32A54F
458,11 Ave & W 27 St,40.751396,-74.005226,1,1,#20D322
459,W 20 St & 11 Ave,40.746745,-74.007756,1,0,#85323F
460,S 4 St & Wythe Ave,40.71285887,-73.96590294,1,0,#1C73A1
462,W 22 St & 10 Ave,40.74691959,-74.00451887,1,1,#5D7DB7
466,W 25 St & 6 Ave,40.74395411,-73.99144871,1,0,#21A70C
468,Broadway & W 55 St,40.7652654,-73.98192338,1,1,#5AF4CA
470,W 20 St & 8 Ave,40.74345335,-74.00004031,1,0,#729E6D
474,5 Ave & E 29 St,40.7451677,-73.98683077,0,1,#308292
476,E 31 St & 3 Ave,40.74394314,-73.97966069,2,0,#F717CE
477,W 41 St & 8 Ave,40.75640548,-73.9900262,0,2,#A1C0DE
478,11 Ave & W 41 St,40.76030096,-73.99884222,2,1,#187367
479,9 Ave & W 45 St,40.76019252,-73.9912551,1,1,#25A4F5
480,W 53 St & 10 Ave,40.76669671,-73.99061728,1,1,#6BC748
482,W 15 St & 7 Ave,40.73935542,-73.99931783,0,2,#10BA93
483,E 12 St & 3 Ave,40.73223272,-73.98889957,2,0,#06DA9A
486,Broadway & W 29 St,40.7462009,-73.98855723,0,1,#C0DE50
487,E 20 St & FDR Drive,40.73314259,-73.97573881,0,2,#A5F95F
488,W 39 St & 9 Ave,40.75645824,-73.99372222,0,2,#4E17E8
489,10 Ave & W 28 St,40.75066386,-74.00176802,1,0,#F9B8CF
490,8 Ave & W 33 St,40.751551,-73.993934,0,2,#58C453
491,E 24 St & Park Ave S,40.74096374,-73.98602213,0,1,#0C20E1
492,W 33 St & 7 Ave,40.75019995,-73.99093085,0,1,#C26082
498,Broadway & W 32 St,40.74854862,-73.98808416,2,0,#7240A0
502,Henry St & Grand St,40.714215,-73.981346,0,1,#D2F10B
503,E 20 St & Park Ave,40.73827428,-73.98751968,1,0,#EAEB82
504,1 Ave & E 15 St,40.73221853,-73.98165557,1,2,#3B7039
505,6 Ave & W 33 St,40.74901271,-73.98848395,0,1,#FE9200
507,E 25 St & 2 Ave,40.73912601,-73.97973776,0,1,#D7F62A
508,W 46 St & 11 Ave,40.76341379,-73.99667444,2,1,#707D70
511,E 14 St & Avenue B,40.72938685,-73.97772429,0,1,#A3B08A
515,W 43 St & 10 Ave,40.76009437,-73.99461843,0,1,#D4B4E6
518,E 39 St & 2 Ave,40.74780373,-73.9734419,0,2,#576994
519,Pershing Square North,40.751873,-73.977706,0,2,#8A9B7B
524,W 43 St & 6 Ave,40.75527307,-73.98316936,1,0,#1B3282
526,E 33 St & 5 Ave,40.74765947,-73.98490707,1,0,#447429
527,E 33 St & 2 Ave,40.744023,-73.976056,1,0,#C69CEE
528,2 Ave & E 31 St,40.74290902,-73.97706058,1,0,#CBBEBF
529,W 42 St & 8 Ave,40.7575699,-73.99098507,1,1,#EFCFCF
530,11 Ave & W 59 St,40.771522,-73.990541,1,0,#6EEDB9
531,Forsyth St & Broome St,40.71893904,-73.99266288,0,1,#27C696
532,S 5 Pl & S 4 St,40.710451,-73.960876,0,1,#E4FE13
533,Broadway & W 39 St,40.75299641,-73.98721619,1,0,#A4A41E
536,1 Ave & E 30 St,40.74144387,-73.97536082,1,0,#07E38E
537,Lexington Ave & E 24 St,40.74025878,-73.98409214,1,1,#E18EF5
545,E 23 St & 1 Ave,40.736502,-73.97809472,1,0,#B70FEF
546,E 30 St & Park Ave S,40.74444921,-73.98303529,1,0,#E8A5CF
2000,Front St & Washington St,40.70255088,-73.98940236,0,1,#352340
2004,6 Ave & Broome St,40.724399,-74.004704,0,1,#6E7875
3072,Leonard St & Boerum St,40.70583339,-73.94644578,0,1,#1E4EE1
3074,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,1,0,#18E42D
3077,Stagg St & Union Ave,40.70877084,-73.95095259,0,1,#92C9A0
3085,Roebling St & N 4 St,40.71469,-73.95739,0,1,#2F1EE3
3086,Graham Ave & Conselyea St,40.715143,-73.944507,1,0,#9C634F
3087,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,1,0,#F4E1BD
3097,N Henry St & Richardson St,40.71921585,-73.9424469,0,1,#09077A
3101,N 12 St & Bedford Ave,40.72079821,-73.95484712,1,0,#D537ED
3102,Driggs Ave & Lorimer St,40.72179134,-73.9504154,1,0,#194516
3104,Kent Ave & N 7 St,40.72057658,-73.96150225,0,1,#DEEF8E
3106,Driggs Ave & N Henry St,40.72325,-73.94308,0,2,#A96416
3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,1,0,#3D8737
3109,Banker St & Meserole Ave,40.72606,-73.95621,1,0,#3407B2
3110,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,0,1,#2B4705
3111,Norman Ave & Leonard St,40.7258483,-73.95064893,0,1,#B1C18D
3117,Franklin St & Dupont St,40.73564,-73.95866,0,1,#9EE492
3122,48 Ave & 5 St,40.7443632871,-73.955873251,0,1,#AFDD9C
3123,31 St & Thomson Ave,40.74469738,-73.93540375,1,0,#86AAAC
3135,E 75 St & 3 Ave,40.77112927,-73.95772297,2,0,#4DE2AC
3141,1 Ave & E 68 St,40.76500525,-73.95818491,0,1,#B3C323
3146,E 81 St & 3 Ave,40.77573034,-73.9567526,0,1,#A04D6F
3155,Lexington Ave & E 63 St,40.76440023,-73.96648977,0,1,#7EC287
3156,E 72 St & York Ave,40.76663814,-73.95348296,1,0,#39E4F1
3167,Amsterdam Ave & W 73 St,40.7796680901,-73.9809304476,2,1,#E127D8
3172,W 74 St & Columbus Ave,40.7785669,-73.97754961,1,0,#7D94BA
3177,W 84 St & Broadway,40.7867947,-73.977112,0,1,#1D43CE
3222,Hanson Pl & St Felix St,40.6851595999,-73.9771136642,1,0,#EABD0E
