station_id,name,lat,lon,bikes_out,bikes_in,color
79,Franklin St & W Broadway,40.71911552,-74.00666661,3,0,#5978C5
116,W 17 St & 8 Ave,40.74177603,-74.00149746,1,2,#A87A6D
119,Park Ave & St Edwards St,40.69608941,-73.97803415,0,1,#421757
127,Barrow St & Hudson St,40.73172428,-74.00674436,0,1,#F479CF
128,MacDougal St & Prince St,40.72710258,-74.00297088,1,0,#4225FF
146,Hudson St & Reade St,40.71625008,-74.0091059,1,2,#2D5423
147,Greenwich St & Warren St,40.71542197,-74.01121978,0,2,#01B6CA
150,E 2 St & Avenue C,40.7208736,-73.98085795,1,1,#D4719D
151,Cleveland Pl & Spring St,40.7221037867,-73.9972490072,0,1,#A2C1E6
157,Henry St & Atlantic Ave,40.69089272,-73.99612349,0,1,#0C79B5
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,2,1,#E097C0
164,E 47 St & 2 Ave,40.75323098,-73.97032517,1,1,#D31EA0
167,E 39 St & 3 Ave,40.7489006,-73.97604882,1,0,#8AC060
168,W 18 St & 6 Ave,40.73971301,-73.99456405,5,2,#208D4B
173,Broadway & W 49 St,40.76064679,-73.98442659,1,0,#36AC01
195,Liberty St & Broadway,40.70905623,-74.01043382,0,1,#2C1805
216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,1,0,#CAF2C1
225,W 14 St & The High Line,40.74195138,-74.00803013,0,1,#823C48
229,Great Jones St,40.72743423,-73.99379025,1,0,#F5030F
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,1,1,#384C1D
237,E 11 St & 2 Ave,40.73047309,-73.98672378,0,1,#A662A4
238,Bank St & Washington St,40.7361967,-74.00859207,1,1,#08BB49
241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,0,3,#89E471
243,Fulton St & Rockwell Pl,40.688226,-73.979382,1,0,#3B75B5
244,Willoughby Ave & Hall St,40.69196035,-73.96536851,1,0,#DC9EFE
247,Perry St & Bleecker St,40.73535398,-74.00483091,2,0,#9797BF
249,Harrison St & Hudson St,40.71870987,-74.0090009,1,1,#FC04BC
250,Lafayette St & Jersey St,40.72456089,-73.99565293,6,0,#BEA291
252,MacDougal St & Washington Sq,40.73226398,-73.99852205,1,0,#71F65C
254,W 11 St & 6 Ave,40.73532427,-73.99800419,3,0,#C81302
257,Lispenard St & Broadway,40.71939226,-74.00247214,0,1,#95E100
260,Broad St & Bridge St,40.70365182,-74.01167797,0,1,#108717
261,Johnson St & Gold St,40.69474881,-73.98362464,0,1,#9361DF
263,Elizabeth St & Hester St,40.71729,-73.996375,0,1,#7B3580
264,Maiden Ln & Pearl St,40.70706456,-74.00731853,0,1,#5A6C20
270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,3,1,#A1832F
271,Ashland Pl & Hanson Pl,40.68528172,-73.97805813,1,0,#2E1962
280,E 10 St & 5 Ave,40.73331967,-73.99510132,0,1,#397FB3
284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,2,1,#CCED02
285,Broadway & E 14 St,40.73454567,-73.99074142,2,1,#D64287
291,Madison St & Montgomery St,40.713126,-73.984844,1,0,#F70120
294,Washington Square E,40.73049393,-73.9957214,2,4,#644A9B
295,Pike St & E Broadway,40.71406667,-73.99293911,2,2,#65030D
296,Division St & Bowery,40.71413089,-73.9970468,4,1,#5EBE86
297,E 15 St & 3 Ave,40.734232,-73.986923,0,6,#D65016
301,E 2 St & Avenue B,40.72217444,-73.98368779,1,1,#ED8B3B
303,Mercer St & Spring St,40.72362738,-73.99949601,1,0,#D941CF
304,Broadway & Battery Pl,40.70463334,-74.01361706,0,1,#84525D
305,E 58 St & 3 Ave,40.76095756,-73.96724467,1,1,#3059AE
307,Canal St & Rutgers St,40.71427487,-73.98990025,1,2,#A1C095
309,Murray St & West St,40.7149787,-74.013012,1,0,#2C56AB
310,State St & Smith St,40.68926942,-73.98912867,1,2,#615E96
312,Allen St & E Houston St,40.722055,-73.989111,1,1,#893C82
317,E 6 St & Avenue B,40.72453734,-73.98185424,2,1,#779A41
318,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,1,1,#F56424
320,Leonard St & Church St,40.717571,-74.005549,1,0,#0F8A6C
323,Lawrence St & Willoughby St,40.69236178,-73.98631746,1,0,#8195E5
324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,0,1,#0645F1
325,E 19 St & 3 Ave,40.73624527,-73.98473765,1,0,#B68796
326,E 11 St & 1 Ave,40.72953837,-73.98426726,1,1,#1138EB
327,Vesey Pl & River Terrace,40.7153379,-74.01658354,2,1,#CE0ACD
331,Pike St & Monroe St,40.71173107,-73.99193043,2,0,#2C2FC1
334,W 20 St & 7 Ave,40.74238787,-73.99726235,0,1,#C055ED
337,Old Slip & Front St,40.7037992,-74.00838676,0,1,#7944BB
342,Columbia St & Rivington St,40.71739973,-73.98016555,2,2,#9D77CF
345,W 13 St & 6 Ave,40.73649403,-73.99704374,1,1,#68BBB3
347,Greenwich St & W Houston St,40.728846,-74.008591,0,1,#082142
348,W Broadway & Spring St,40.72490985,-74.00154702,3,0,#B725EA
349,Rivington St & Ridge St,40.71850211,-73.98329859,0,1,#9EDB47
350,Clinton St & Grand St,40.71559509,-73.9870295,0,2,#BF3645
352,W 56 St & 6 Ave,40.76340613,-73.97722479,2,0,#6513EC
353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,1,0,#4E1FB4
355,Bayard St & Baxter St,40.71602118,-73.99974372,0,2,#FF42AC
356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,0,2,#AAD518
357,E 11 St & Broadway,40.73261787,-73.99158043,1,0,#819152
363,West Thames St,40.70834698,-74.01713445,0,2,#DF63ED
366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,1,1,#108DA3
367,E 53 St & Lexington Ave,40.75828065,-73.97069431,1,0,#499A2A
368,Carmine St & 6 Ave,40.73038599,-74.00214988,2,2,#A52802
376,John St & William St,40.70862144,-74.00722156,2,0,#8780A4
377,6 Ave & Canal St,40.72243797,-74.00566443,1,1,#67F0A2
379,W 31 St & 7 Ave,40.749156,-73.9916,2,0,#12A1F4
382,University Pl & E 14 St,40.73492695,-73.99200509,6,0,#5F1C9A
383,Greenwich Ave & Charles St,40.735238,-74.000271,1,3,#303C9D
387,Centre St & Chambers St,40.71273266,-74.0046073,0,1,#ED211C
388,W 26 St & 10 Ave,40.749717753,-74.002950346,0,1,#3490A6
391,Clark St & Henry St,40.69760127,-73.99344559,1,1,#5BDCBB
394,E 9 St & Avenue C,40.72521311,-73.97768752,1,0,#AF9437
400,Pitt St & Stanton St,40.71926081,-73.98178024,0,1,#2C692E
401,Allen St & Rivington St,40.72019576,-73.98997825,1,2,#8E08D7
402,Broadway & E 22 St,40.7403432,-73.98955109,0,1,#1A259C
403,E 2 St & 2 Ave,40.72502876,-73.99069656,1,1,#9FA88A
404,9 Ave & W 14 St,40.7405826,-74.00550867,1,0,#F0C8F1
406,Hicks St & Montague St,40.69512845,-73.99595065,1,0,#CFB16A
408,Market St & Cherry St,40.71076228,-73.99400398,0,1,#E77C43
410,Suffolk St & Stanton St,40.72066442,-73.98517977,3,1,#AA2847
