start_station,start_lat,start_lon,end_station,end_lat,end_lon
265,40.72229346,-73.99147535,444,40.7423543,-73.98915076
483,40.73223272,-73.98889957,428,40.72467721,-73.98783413
473,40.72110063,-73.9919254,439,40.7262807,-73.98978041
152,40.71473993,-74.00910627,79,40.71911552,-74.00666661
311,40.7172274,-73.98802084,522,40.75714758,-73.97207836
405,40.739323,-74.008119,3002,40.711512,-74.015756
173,40.76064679,-73.98442659,449,40.76461837,-73.98789473
435,40.74173969,-73.99415556,474,40.7451677,-73.98683077
307,40.71427487,-73.98990025,2009,40.71117444,-73.99682619
2021,40.75929124,-73.98859651,447,40.76370739,-73.9851615
291,40.713126,-73.984844,350,40.71559509,-73.9870295
307,40.71427487,-73.98990025,295,40.71406667,-73.99293911
281,40.7643971,-73.97371465,334,40.74238787,-73.99726235
251,40.72317958,-73.99480012,347,40.72873888,-74.00748842
296,40.71413089,-73.9970468,341,40.71782143,-73.97628939
337,40.7037992,-74.00838676,327,40.7153379,-74.01658354
271,40.68528172,-73.97805813,261,40.69474881,-73.98362464
116,40.74177603,-74.00149746,346,40.73652889,-74.00618026
228,40.7546011,-73.97187886,522,40.75714758,-73.97207836
3002,40.711512,-74.015756,505,40.74901271,-73.98848395
311,40.7172274,-73.98802084,311,40.7172274,-73.98802084
402,40.7403432,-73.98955109,402,40.7403432,-73.98955109
296,40.71413089,-73.9970468,151,40.7218158,-73.99720307
353,40.68539567,-73.97431458,120,40.68676793,-73.95928168
168,40.73971301,-73.99456405,379,40.749156,-73.9916
440,40.75255434,-73.97282625,281,40.7643971,-73.97371465
467,40.68312489,-73.97895137,310,40.68926942,-73.98912867
426,40.71754834,-74.01322069,328,40.72405549,-74.00965965
238,40.7361967,-74.00859207,212,40.74334935,-74.00681753
438,40.72779126,-73.98564945,504,40.73221853,-73.98165557
79,40.71911552,-74.00666661,147,40.71542197,-74.01121978
281,40.7643971,-73.97371465,499,40.76915505,-73.98191841
264,40.70706456,-74.00731853,316,40.70955958,-74.00653609
356,40.71622644,-73.98261206,311,40.7172274,-73.98802084
509,40.7454973,-74.00197139,483,40.73223272,-73.98889957
434,40.74317449,-74.00366443,368,40.73038599,-74.00214988
151,40.7218158,-73.99720307,293,40.73028666,-73.9907647
496,40.73726186,-73.99238967,470,40.74345335,-74.00004031
406,40.69512845,-73.99595065,407,40.700469,-73.991454
383,40.735238,-74.000271,280,40.73331967,-73.99510132
327,40.7153379,-74.01658354,327,40.7153379,-74.01658354
351,40.70530954,-74.00612572,487,40.73314259,-73.97573881
332,40.71219906,-73.97948148,501,40.744219,-73.97121214
501,40.744219,-73.97121214,456,40.7597108,-73.97402311
426,40.71754834,-74.01322069,382,40.73492695,-73.99200509
247,40.73535398,-74.00483091,403,40.72502876,-73.99069656
247,40.73535398,-74.00483091,403,40.72502876,-73.99069656
466,40.74395411,-73.99144871,284,40.73901691,-74.00263761
358,40.73291553,-74.00711384,212,40.74334935,-74.00681753
280,40.73331967,-73.99510132,346,40.73652889,-74.00618026
284,40.73901691,-74.00263761,347,40.72873888,-74.00748842
428,40.72467721,-73.98783413,335,40.72903917,-73.99404649
239,40.69196566,-73.9813018,274,40.68691865,-73.976682
529,40.7575699,-73.99098507,478,40.76030096,-73.99884222
438,40.72779126,-73.98564945,504,40.73221853,-73.98165557
358,40.73291553,-74.00711384,442,40.746647,-73.993915
355,40.71602118,-73.99974372,342,40.71739973,-73.98016555
461,40.73587678,-73.98205027,257,40.71939226,-74.00247214
496,40.73726186,-73.99238967,477,40.75640548,-73.9900262
515,40.76009437,-73.99461843,505,40.74901271,-73.98848395
426,40.71754834,-74.01322069,405,40.739323,-74.008119
505,40.74901271,-73.98848395,519,40.751873,-73.977706
497,40.73704984,-73.99009296,433,40.72955361,-73.98057249
412,40.7158155,-73.99422366,146,40.71625008,-74.0091059
307,40.71427487,-73.98990025,151,40.7218158,-73.99720307
475,40.73524276,-73.98758561,461,40.73587678,-73.98205027
311,40.7172274,-73.98802084,522,40.75714758,-73.97207836
382,40.73492695,-73.99200509,416,40.68753406,-73.97265183
262,40.69178232,-73.97372989,365,40.68223166,-73.9614583
360,40.70717936,-74.00887308,328,40.72405549,-74.00965965
362,40.75172632,-73.98753523,382,40.73492695,-73.99200509
