station_id,name,lat,lon,bikes_out,bikes_in,color
72,W 52 St & 11 Ave,40.76727216,-73.99392888,7,10,#B5EDFC
79,Franklin St & W Broadway,40.71911552,-74.00666661,9,4,#7471BB
82,St James Pl & Pearl St,40.71117416,-74.00016545,5,5,#D5AD49
83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,5,6,#775859
116,W 17 St & 8 Ave,40.74177603,-74.00149746,7,6,#1CC369
120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,3,3,#7C870A
127,Barrow St & Hudson St,40.73172428,-74.00674436,16,17,#1498AE
137,E 56 St & Madison Ave,40.761628,-73.972924,7,5,#35B740
143,Clinton St & Joralemon St,40.69239502,-73.99337909,0,1,#B5D126
144,Nassau St & Navy St,40.69839895,-73.98068914,1,2,#33B014
146,Hudson St & Reade St,40.71625008,-74.0091059,7,8,#C8BFB8
147,Greenwich St & Warren St,40.71542197,-74.01121978,12,20,#A9A3CF
150,E 2 St & Avenue C,40.7208736,-73.98085795,4,6,#221673
151,Cleveland Pl & Spring St,40.7221037867,-73.9972490072,18,29,#B8A331
152,Warren St & Church St,40.71473993,-74.00910627,1,3,#0C251B
157,Henry St & Atlantic Ave,40.69089272,-73.99612349,6,4,#03B592
160,E 37 St & Lexington Ave,40.748238,-73.978311,6,4,#B47541
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,14,25,#DACFDE
164,E 47 St & 2 Ave,40.75323098,-73.97032517,9,8,#802D01
167,E 39 St & 3 Ave,40.7489006,-73.97604882,1,5,#A89A2A
168,W 18 St & 6 Ave,40.73971301,-73.99456405,33,25,#83F3CE
173,Broadway & W 49 St,40.76064679,-73.98442659,9,13,#58D425
174,E 25 St & 1 Ave,40.7381765,-73.97738662,1,0,#762583
195,Liberty St & Broadway,40.70905623,-74.01043382,8,5,#555FB3
212,W 16 St & The High Line,40.74334935,-74.00681753,15,14,#55FD4D
216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,1,0,#4C7FC9
217,Old Fulton St,40.70277159,-73.99383605,4,17,#44FCEA
218,Gallatin Pl & Livingston St,40.69028437,-73.98707105,2,1,#8E7C23
223,W 13 St & 7 Ave,40.73781509,-73.99994661,3,6,#EB75FE
224,Spruce St & Nassau St,40.71146364,-74.00552427,2,5,#F71B68
225,W 14 St & The High Line,40.74195138,-74.00803013,6,6,#99A06A
228,E 48 St & 3 Ave,40.7546011,-73.97187886,4,4,#19F90A
229,Great Jones St,40.72743423,-73.99379025,8,11,#8ADF4C
232,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,4,3,#0FF748
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,5,14,#0ADF56
237,E 11 St & 2 Ave,40.73047309,-73.98672378,33,15,#6CF4DE
238,Bank St & Washington St,40.7361967,-74.00859207,11,14,#25C99B
241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,0,4,#4CA59B
242,Flushing Ave & Carlton Ave,40.69788349,-73.97350332,6,3,#85377F
243,Fulton St & Rockwell Pl,40.688226,-73.979382,2,2,#D95CDA
245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,0,3,#4C5718
247,Perry St & Bleecker St,40.73535398,-74.00483091,18,11,#8F1F23
248,Laight St & Hudson St,40.72185379,-74.00771779,0,3,#0ABD15
249,Harrison St & Hudson St,40.71870987,-74.0090009,1,7,#A39DA8
250,Lafayette St & Jersey St,40.72456089,-73.99565293,27,21,#0EEE5C
251,Mott St & Prince St,40.72317958,-73.99480012,17,16,#527ED6
252,MacDougal St & Washington Sq,40.73226398,-73.99852205,17,20,#AAD276
253,W 13 St & 5 Ave,40.73543934,-73.99453948,5,14,#57A41C
254,W 11 St & 6 Ave,40.73532427,-73.99800419,7,6,#B70A8C
257,Lispenard St & Broadway,40.71939226,-74.00247214,3,3,#8067CE
258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,6,3,#37EB99
259,South St & Whitehall St,40.70122128,-74.01234218,5,4,#FF484D
260,Broad St & Bridge St,40.70365182,-74.01167797,4,2,#DD16AE
261,Johnson St & Gold St,40.69474881,-73.98362464,7,6,#65AFF8
262,Washington Park,40.6917823,-73.9737299,1,0,#E67B3C
263,Elizabeth St & Hester St,40.71729,-73.996375,15,7,#01639B
264,Maiden Ln & Pearl St,40.70706456,-74.00731853,1,3,#376799
265,Stanton St & Chrystie St,40.72229346,-73.99147535,15,14,#79FBDF
266,Avenue D & E 8 St,40.72368361,-73.97574813,2,4,#08C536
267,Broadway & W 36 St,40.75097711,-73.98765428,6,2,#B7976C
268,Howard St & Centre St,40.71910537,-73.99973337,10,10,#2E29E5
270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,4,2,#15DD42
274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,3,1,#59ABF3
275,Washington Ave & Greene Ave,40.68650065,-73.96563307,2,1,#C82141
276,Duane St & Greenwich St,40.71748752,-74.0104554,6,8,#040D4B
278,Concord St & Bridge St,40.69766564,-73.98476437,4,0,#1C0C53
279,Peck Slip & Front St,40.707873,-74.00167,17,7,#5E2DD4
280,E 10 St & 5 Ave,40.73331967,-73.99510132,8,5,#F4A7AE
281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,18,16,#439915
282,Kent Ave & S 11 St,40.70827295,-73.96834101,4,6,#3776AE
284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,19,16,#B777CE
285,Broadway & E 14 St,40.73454567,-73.99074142,21,21,#DD535F
290,2 Ave & E 58 St,40.76020258,-73.96478473,4,4,#07189D
291,Madison St & Montgomery St,40.713126,-73.984844,8,4,#662F02
293,Lafayette St & E 8 St,40.73028666,-73.9907647,22,21,#E3A1C4
295,Pike St & E Broadway,40.71406667,-73.99293911,6,10,#21C1AF
296,Division St & Bowery,40.71413089,-73.9970468,8,1,#B64791
297,E 15 St & 3 Ave,40.734232,-73.986923,12,20,#7692DB
298,3 Ave & Schermerhorn St,40.68683208,-73.9796772,3,1,#E39BA3
300,Shevchenko Pl & E 7 St,40.728145,-73.990214,3,8,#2A1A4F
301,E 2 St & Avenue B,40.72217444,-73.98368779,16,12,#061FDC
302,Avenue D & E 3 St,40.72082834,-73.97793172,5,5,#A9678F
303,Mercer St & Spring St,40.72362738,-73.99949601,10,16,#E07258
304,Broadway & Battery Pl,40.70463334,-74.01361706,2,3,#690539
