station_id,name,lat,lon,bikes_out,bikes_in,color
72,W 52 St & 11 Ave,40.76727216,-73.99392888,2,1,#71A976
79,Franklin St & W Broadway,40.71911552,-74.00666661,0,2,#F9CB83
82,St James Pl & Pearl St,40.71117416,-74.00016545,3,1,#C1F003
83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,0,2,#F11E9A
116,W 17 St & 8 Ave,40.74177603,-74.00149746,4,3,#9021DE
127,Barrow St & Hudson St,40.73172428,-74.00674436,4,7,#6486B7
137,E 56 St & Madison Ave,40.761628,-73.972924,4,0,#370E33
143,Clinton St & Joralemon St,40.69239502,-73.99337909,2,0,#D6FB7D
144,Nassau St & Navy St,40.69839895,-73.98068914,0,1,#21CD7E
146,Hudson St & Reade St,40.71625008,-74.0091059,2,2,#66B3B7
147,Greenwich St & Warren St,40.71542197,-74.01121978,1,11,#087CBA
150,E 2 St & Avenue C,40.7208736,-73.98085795,8,1,#58A28F
151,Cleveland Pl & Spring St,40.7221037867,-73.9972490072,4,1,#E32602
152,Warren St & Church St,40.71473993,-74.00910627,2,1,#32F7C3
157,Henry St & Atlantic Ave,40.69089272,-73.99612349,0,1,#8F3114
160,E 37 St & Lexington Ave,40.748238,-73.978311,3,2,#33656A
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,1,4,#66E1C7
164,E 47 St & 2 Ave,40.75323098,-73.97032517,6,10,#6B35D3
167,E 39 St & 3 Ave,40.7489006,-73.97604882,6,1,#DE7839
173,Broadway & W 49 St,40.76064679,-73.98442659,6,2,#61D6D9
174,E 25 St & 1 Ave,40.7381765,-73.97738662,3,5,#FB595F
195,Liberty St & Broadway,40.70905623,-74.01043382,2,0,#CA349B
212,W 16 St & The High Line,40.74334935,-74.00681753,1,12,#FCD88A
216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,2,0,#D484CD
217,Old Fulton St,40.70277159,-73.99383605,0,1,#DEAA66
223,W 13 St & 7 Ave,40.73781509,-73.99994661,1,4,#70EC7E
224,Spruce St & Nassau St,40.71146364,-74.00552427,2,1,#90CE87
225,W 14 St & The High Line,40.74195138,-74.00803013,0,2,#86EE50
228,E 48 St & 3 Ave,40.7546011,-73.97187886,1,4,#E48632
229,Great Jones St,40.72743423,-73.99379025,2,4,#320491
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,3,0,#FDFD98
237,E 11 St & 2 Ave,40.73047309,-73.98672378,5,3,#B4EBC9
238,Bank St & Washington St,40.7361967,-74.00859207,3,2,#5B0418
239,Willoughby St & Fleet St,40.69196566,-73.9813018,0,1,#25F3E9
241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,1,5,#34E665
243,Fulton St & Rockwell Pl,40.688226,-73.979382,1,0,#9ED270
244,Willoughby Ave & Hall St,40.69196035,-73.96536851,0,2,#A5DD86
247,Perry St & Bleecker St,40.73535398,-74.00483091,5,3,#717D16
249,Harrison St & Hudson St,40.71870987,-74.0090009,2,2,#AAE141
250,Lafayette St & Jersey St,40.72456089,-73.99565293,1,5,#2B5A92
251,Mott St & Prince St,40.72317958,-73.99480012,2,2,#5887E4
252,MacDougal St & Washington Sq,40.73226398,-73.99852205,2,2,#81C11E
253,W 13 St & 5 Ave,40.73543934,-73.99453948,1,5,#646C84
257,Lispenard St & Broadway,40.71939226,-74.00247214,3,1,#A990AE
258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,4,2,#553F2C
261,Johnson St & Gold St,40.69474881,-73.98362464,2,0,#AB7744
262,Washington Park,40.6917823,-73.9737299,1,0,#5B8212
263,Elizabeth St & Hester St,40.71729,-73.996375,0,6,#EEEFED
264,Maiden Ln & Pearl St,40.70706456,-74.00731853,3,0,#EC5B6C
265,Stanton St & Chrystie St,40.72229346,-73.99147535,0,6,#0F4E0C
266,Avenue D & E 8 St,40.72368361,-73.97574813,1,0,#BBC47D
268,Howard St & Centre St,40.71910537,-73.99973337,4,4,#D71E25
270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,3,1,#2A1464
274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,1,4,#4A2750
