station_id,name,lat,lon,bikes_out,bikes_in,color
72,W 52 St & 11 Ave,40.76727216,-73.99392888,1,2,#148ADB
79,Franklin St & W Broadway,40.71911552,-74.00666661,0,2,#127291
82,St James Pl & Pearl St,40.71117416,-74.00016545,0,2,#659E22
83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,0,1,#5977D2
116,W 17 St & 8 Ave,40.74177603,-74.00149746,0,1,#54C409
127,Barrow St & Hudson St,40.73172428,-74.00674436,3,1,#86EF8F
128,MacDougal St & Prince St,40.72710258,-74.00297088,4,3,#D94E42
137,E 56 St & Madison Ave,40.761628,-73.972924,1,3,#3FCEC2
143,Clinton St & Joralemon St,40.69239502,-73.99337909,1,1,#E6E2C9
146,Hudson St & Reade St,40.71625008,-74.0091059,2,3,#2FB556
147,Greenwich St & Warren St,40.71542197,-74.01121978,0,1,#7EC2E0
150,E 2 St & Avenue C,40.7208736,-73.98085795,3,0,#BC6B14
151,Cleveland Pl & Spring St,40.7221037867,-73.9972490072,4,3,#C1EB27
152,Warren St & Church St,40.71473993,-74.00910627,1,0,#5065C4
153,E 40 St & 5 Ave,40.752062307,-73.9816324043,2,3,#753E67
157,Henry St & Atlantic Ave,40.69089272,-73.99612349,2,1,#265CCF
160,E 37 St & Lexington Ave,40.748238,-73.978311,2,1,#CEEE9E
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,3,3,#49A60E
164,E 47 St & 2 Ave,40.75323098,-73.97032517,2,3,#76E410
167,E 39 St & 3 Ave,40.7489006,-73.97604882,3,1,#5A3A0B
168,W 18 St & 6 Ave,40.73971301,-73.99456405,4,6,#220C98
173,Broadway & W 49 St,40.76064679,-73.98442659,4,0,#E65439
174,E 25 St & 1 Ave,40.7381765,-73.97738662,0,1,#7B6E31
195,Liberty St & Broadway,40.70905623,-74.01043382,1,1,#7C1EC8
212,W 16 St & The High Line,40.74334935,-74.00681753,2,0,#533CC8
223,W 13 St & 7 Ave,40.73781509,-73.99994661,7,3,#6AC5C3
224,Spruce St & Nassau St,40.71146364,-74.00552427,0,1,#14D1A7
225,W 14 St & The High Line,40.74195138,-74.00803013,1,0,#D162A2
229,Great Jones St,40.72743423,-73.99379025,4,3,#423616
233,Joralemon St & Adams St,40.69246277,-73.98963911,0,2,#7612AB
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,3,0,#76CC0C
237,E 11 St & 2 Ave,40.73047309,-73.98672378,0,2,#0161F0
238,Bank St & Washington St,40.7361967,-74.00859207,1,0,#C35D29
247,Perry St & Bleecker St,40.73535398,-74.00483091,0,2,#691078
248,Laight St & Hudson St,40.72185379,-74.00771779,1,1,#79AFD8
250,Lafayette St & Jersey St,40.72456089,-73.99565293,1,2,#0F7B1A
251,Mott St & Prince St,40.72317958,-73.99480012,1,4,#165C09
252,MacDougal St & Washington Sq,40.73226398,-73.99852205,1,1,#78F561
257,Lispenard St & Broadway,40.71939226,-74.00247214,0,1,#59450F
259,South St & Whitehall St,40.70122128,-74.01234218,0,1,#F7AEEC
260,Broad St & Bridge St,40.70365182,-74.01167797,1,0,#A29059
263,Elizabeth St & Hester St,40.71729,-73.996375,0,2,#16FCEF
264,Maiden Ln & Pearl St,40.70706456,-74.00731853,3,0,#201D4E
268,Howard St & Centre St,40.71910537,-73.99973337,3,1,#D1AC8E
271,Ashland Pl & Hanson Pl,40.68528172,-73.97805813,1,0,#C732FF
274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,1,1,#034ACC
276,Duane St & Greenwich St,40.71748752,-74.0104554,2,0,#D4EBA6
280,E 10 St & 5 Ave,40.73331967,-73.99510132,1,1,#AE7748
281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,2,1,#11DDCB
284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,1,6,#C16138
285,Broadway & E 14 St,40.73454567,-73.99074142,9,3,#8F9719
291,Madison St & Montgomery St,40.713126,-73.984844,1,0,#F66340
293,Lafayette St & E 8 St,40.73028666,-73.9907647,3,9,#B47906
294,Washington Square E,40.73049393,-73.9957214,0,3,#643574
295,Pike St & E Broadway,40.71406667,-73.99293911,0,2,#1471D8
296,Division St & Bowery,40.71413089,-73.9970468,0,1,#5C098B
300,Shevchenko Pl & E 7 St,40.728145,-73.990214,2,1,#F63870
301,E 2 St & Avenue B,40.72217444,-73.98368779,1,1,#3ABEC5
302,Avenue D & E 3 St,40.72082834,-73.97793172,1,0,#4DA475
303,Mercer St & Spring St,40.72362738,-73.99949601,2,0,#8FD6B4
305,E 58 St & 3 Ave,40.76095756,-73.96724467,2,0,#EB59E2
306,Cliff St & Fulton St,40.70823502,-74.00530063,2,0,#C79F2E
308,St James Pl & Oliver St,40.71307916,-73.99851193,2,0,#956B13
311,Norfolk St & Broome St,40.7172274,-73.98802084,1,0,#5BC93B
312,Allen St & E Houston St,40.722055,-73.989111,0,2,#FAD828
316,Fulton St & William St,40.70955958,-74.00653609,1,2,#B5E80C
317,E 6 St & Avenue B,40.72453734,-73.98185424,2,2,#21A9D4
318,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,3,5,#81C694
320,Leonard St & Church St,40.717571,-74.005549,2,0,#F13C4D
321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,1,0,#F94584
322,Clinton St & Tillary St,40.696192,-73.991218,1,0,#3B4768
323,Lawrence St & Willoughby St,40.69236178,-73.98631746,0,1,#4FE4C0
326,E 11 St & 1 Ave,40.72953837,-73.98426726,3,1,#EDF757
327,Vesey Pl & River Terrace,40.7153379,-74.01658354,1,0,#004FE3
328,Watts St & Greenwich St,40.72405549,-74.00965965,1,1,#E998CC
329,Greenwich St & N Moore St,40.72043411,-74.01020609,2,2,#7BB19B
330,Reade St & Broadway,40.71450451,-74.00562789,1,0,#4052AB
331,Pike St & Monroe St,40.71173107,-73.99193043,0,1,#1C8DB8
334,W 20 St & 7 Ave,40.74238787,-73.99726235,2,1,#41B53B
335,Washington Pl & Broadway,40.72903917,-73.99404649,1,3,#6D417A
336,Sullivan St & Washington Sq,40.73047747,-73.99906065,2,0,#593551
337,Old Slip & Front St,40.7037992,-74.00838676,1,0,#EF30CB
341,Stanton St & Mangin St,40.71782143,-73.97628939,2,0,#36F884
