start_station,start_lat,start_lon,end_station,end_lat,end_lon
358,40.73291553,-74.00711384,347,40.728846,-74.008591
385,40.75797322,-73.96603308,520,40.75992262,-73.97648516
456,40.7597108,-73.97402311,530,40.771522,-73.990541
492,40.75019995,-73.99093085,533,40.75299641,-73.98721619
502,40.714215,-73.981346,311,40.7172274,-73.98802084
3108,40.72557,-73.94434,3113,40.73026,-73.95394
3236,40.758984814,-73.9937996864,477,40.75640548,-73.9900262
237,40.73047309,-73.98672378,347,40.728846,-74.008591
360,40.70717936,-74.00887308,249,40.71870987,-74.0090009
368,40.73038599,-74.00214988,309,40.7149787,-74.013012
391,40.69760127,-73.99344559,430,40.7014851,-73.98656928
492,40.75019995,-73.99093085,517,40.751581,-73.97791
492,40.75019995,-73.99093085,520,40.75992262,-73.97648516
521,40.7509673487,-73.9944420755,347,40.728846,-74.008591
253,40.73543934,-73.99453948,537,40.74025878,-73.98409214
264,40.70706456,-74.00731853,260,40.70365182,-74.01167797
393,40.72299208,-73.97995466,327,40.7153379,-74.01658354
432,40.72621788,-73.98379855,300,40.728145,-73.990214
489,40.75066386,-74.00176802,521,40.7509673487,-73.9944420755
521,40.7509673487,-73.9944420755,485,40.75038009,-73.98338988
2008,40.70569254,-74.01677685,450,40.76227205,-73.98788205
3150,40.77536905,-73.94803392,3156,40.76663814,-73.95348296
346,40.73652889,-74.00618026,304,40.70463334,-74.01361706
346,40.73652889,-74.00618026,485,40.75038009,-73.98338988
393,40.72299208,-73.97995466,428,40.72467721,-73.98783413
472,40.7457121,-73.98194829,492,40.75019995,-73.99093085
477,40.75640548,-73.9900262,137,40.761628,-73.972924
484,40.75500254,-73.98014437,72,40.76727216,-73.99392888
487,40.73314259,-73.97573881,402,40.7403432,-73.98955109
488,40.75645824,-73.99372222,458,40.751396,-74.005226
490,40.751551,-73.993934,507,40.73912601,-73.97973776
508,40.76341379,-73.99667444,534,40.70255065,-74.0127234
3091,40.71764,-73.94882,2002,40.716887,-73.963198
3222,40.6851595999,-73.9771136642,359,40.75510267,-73.97498696
238,40.7361967,-74.00859207,327,40.7153379,-74.01658354
