station_id,name,lat,lon,bikes_out,bikes_in,color
72,W 52 St & 11 Ave,40.76727216,-73.99392888,10,8,#7BF188
79,Franklin St & W Broadway,40.71911552,-74.00666661,1,4,#6E3C17
82,St James Pl & Pearl St,40.71117416,-74.00016545,2,2,#2F4B04
83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,1,0,#1F452F
116,W 17 St & 8 Ave,40.74177603,-74.00149746,11,7,#C19A90
120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,1,2,#737FAC
127,Barrow St & Hudson St,40.73172428,-74.00674436,19,3,#5271B2
137,E 56 St & Madison Ave,40.761628,-73.972924,0,25,#9F4479
143,Clinton St & Joralemon St,40.69239502,-73.99337909,4,1,#F7096C
144,Nassau St & Navy St,40.69839895,-73.98068914,2,1,#D82271
146,Hudson St & Reade St,40.71625008,-74.0091059,4,2,#F888FA
147,Greenwich St & Warren St,40.71542197,-74.01121978,8,14,#584670
150,E 2 St & Avenue C,40.7208736,-73.98085795,15,4,#7E2750
151,Cleveland Pl & Spring St,40.7221037867,-73.9972490072,8,10,#1E0158
152,Warren St & Church St,40.71473993,-74.00910627,2,7,#489B96
157,Henry St & Atlantic Ave,40.69089272,-73.99612349,4,1,#A16205
160,E 37 St & Lexington Ave,40.748238,-73.978311,2,0,#80220F
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,9,4,#8DD674
164,E 47 St & 2 Ave,40.75323098,-73.97032517,8,13,#A3A7C4
167,E 39 St & 3 Ave,40.7489006,-73.97604882,10,13,#28DC08
168,W 18 St & 6 Ave,40.73971301,-73.99456405,7,18,#F1519E
173,Broadway & W 49 St,40.76064679,-73.98442659,8,28,#495F09
174,E 25 St & 1 Ave,40.7381765,-73.97738662,13,12,#3AE266
195,Liberty St & Broadway,40.70905623,-74.01043382,4,7,#408541
212,W 16 St & The High Line,40.74334935,-74.00681753,6,13,#903C91
217,Old Fulton St,40.70277159,-73.99383605,1,1,#19AE82
218,Gallatin Pl & Livingston St,40.69028437,-73.98707105,1,0,#916923
223,W 13 St & 7 Ave,40.73781509,-73.99994661,16,9,#4EF268
224,Spruce St & Nassau St,40.71146364,-74.00552427,1,2,#6B9669
225,W 14 St & The High Line,40.74195138,-74.00803013,1,5,#CD7B5A
228,E 48 St & 3 Ave,40.7546011,-73.97187886,1,23,#C2B2B0
229,Great Jones St,40.72743423,-73.99379025,14,12,#EECCC2
233,Joralemon St & Adams St,40.69246277,-73.98963911,1,0,#E07CCF
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,17,4,#A255A4
237,E 11 St & 2 Ave,40.73047309,-73.98672378,19,3,#50F25E
238,Bank St & Washington St,40.7361967,-74.00859207,5,3,#FFCD1B
239,Willoughby St & Fleet St,40.69196566,-73.9813018,3,4,#35A100
241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,3,0,#F8CD15
243,Fulton St & Rockwell Pl,40.688226,-73.979382,0,5,#04EC1D
244,Willoughby Ave & Hall St,40.69196035,-73.96536851,4,0,#23E9E6
247,Perry St & Bleecker St,40.73535398,-74.00483091,9,1,#53E1B0
248,Laight St & Hudson St,40.72185379,-74.00771779,3,2,#064F46
249,Harrison St & Hudson St,40.71870987,-74.0090009,1,9,#D6E027
250,Lafayette St & Jersey St,40.72456089,-73.99565293,6,14,#646363
251,Mott St & Prince St,40.72317958,-73.99480012,4,4,#9DBF94
252,MacDougal St & Washington Sq,40.73226398,-73.99852205,7,6,#684E7D
253,W 13 St & 5 Ave,40.73543934,-73.99453948,2,9,#8C83B3
254,W 11 St & 6 Ave,40.73532427,-73.99800419,6,3,#FD6A55
255,NYCBS Depot - SSP,40.646768,-74.01651,0,1,#A7C0E8
257,Lispenard St & Broadway,40.71939226,-74.00247214,0,7,#E181EF
258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,5,0,#BFA7E5
259,South St & Whitehall St,40.70122128,-74.01234218,3,7,#EBADB6
260,Broad St & Bridge St,40.70365182,-74.01167797,2,17,#D5E081
261,Johnson St & Gold St,40.69474881,-73.98362464,2,2,#639766
262,Washington Park,40.6917823,-73.9737299,3,1,#C1C979
263,Elizabeth St & Hester St,40.71729,-73.996375,3,1,#6DF186
264,Maiden Ln & Pearl St,40.70706456,-74.00731853,5,8,#DD5C2F
265,Stanton St & Chrystie St,40.72229346,-73.99147535,3,2,#D32048
266,Avenue D & E 8 St,40.72368361,-73.97574813,5,2,#BC2801
267,Broadway & W 36 St,40.75097711,-73.98765428,2,3,#F61E33
268,Howard St & Centre St,40.71910537,-73.99973337,2,4,#32CA10
270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,6,0,#78C4E0
274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,3,0,#4F9956
276,Duane St & Greenwich St,40.71748752,-74.0104554,3,1,#DE4DB2
278,Concord St & Bridge St,40.69766564,-73.98476437,2,3,#9ADF7C
279,Peck Slip & Front St,40.707873,-74.00167,3,8,#9C30DE
280,E 10 St & 5 Ave,40.73331967,-73.99510132,8,6,#B9A200
281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,7,17,#9C527E
282,Kent Ave & S 11 St,40.70827295,-73.96834101,2,2,#0DF065
284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,8,13,#1639B5
285,Broadway & E 14 St,40.73454567,-73.99074142,8,22,#E88257
289,Monroe St & Classon Ave,40.6845683,-73.95881081,3,0,#1A5BEF
290,2 Ave & E 58 St,40.76020258,-73.96478473,5,6,#9C7149
291,Madison St & Montgomery St,40.713126,-73.984844,5,3,#4903A1
293,Lafayette St & E 8 St,40.73028666,-73.9907647,13,25,#AE83E6
295,Pike St & E Broadway,40.71406667,-73.99293911,7,1,#98B051
296,Division St & Bowery,40.71413089,-73.9970468,0,1,#EBFA20
297,E 15 St & 3 Ave,40.734232,-73.986923,16,6,#2D8EAB
298,3 Ave & Schermerhorn St,40.68683208,-73.9796772,1,0,#1A08F2
300,Shevchenko Pl & E 7 St,40.728145,-73.990214,5,4,#ACCCC6
301,E 2 St & Avenue B,40.72217444,-73.98368779,9,3,#839EAB
302,Avenue D & E 3 St,40.72082834,-73.97793172,6,2,#3D312A
303,Mercer St & Spring St,40.72362738,-73.99949601,0,1,#006AA9
304,Broadway & Battery Pl,40.70463334,-74.01361706,3,15,#573AF5
305,E 58 St & 3 Ave,40.76095756,-73.96724467,4,22,#5B5507
306,Cliff St & Fulton St,40.70823502,-74.00530063,5,5,#E0423F
307,Canal St & Rutgers St,40.71427487,-73.98990025,12,8,#154B41
308,St James Pl & Oliver St,40.71307916,-73.99851193,1,3,#A2BC74
