station_id,name,lat,lon,bikes_out,bikes_in,color
72,W 52 St & 11 Ave,40.76727216,-73.99392888,1,1,#F9757D
79,Franklin St & W Broadway,40.71911552,-74.00666661,3,2,#9EA76A
82,St James Pl & Pearl St,40.71117416,-74.00016545,1,0,#4A21A9
116,W 17 St & 8 Ave,40.74177603,-74.00149746,2,2,#4729CB
120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,1,5,#3C3D9D
127,Barrow St & Hudson St,40.73172428,-74.00674436,4,1,#B18202
137,E 56 St & Madison Ave,40.761628,-73.972924,7,0,#72108C
143,Clinton St & Joralemon St,40.69239502,-73.99337909,0,1,#3981DD
146,Hudson St & Reade St,40.71625008,-74.0091059,2,0,#6DDF0F
147,Greenwich St & Warren St,40.71542197,-74.01121978,1,1,#83E6BB
150,E 2 St & Avenue C,40.7208736,-73.98085795,3,4,#A044AC
151,Cleveland Pl & Spring St,40.7221037867,-73.9972490072,2,3,#0B6FEF
152,Warren St & Church St,40.71473993,-74.00910627,0,1,#F29283
157,Henry St & Atlantic Ave,40.69089272,-73.99612349,1,0,#E09233
160,E 37 St & Lexington Ave,40.748238,-73.978311,2,5,#D03E15
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,7,8,#C85728
168,W 18 St & 6 Ave,40.73971301,-73.99456405,3,0,#631800
173,Broadway & W 49 St,40.76064679,-73.98442659,5,0,#14D840
174,E 25 St & 1 Ave,40.7381765,-73.97738662,2,2,#542033
195,Liberty St & Broadway,40.70905623,-74.01043382,0,4,#81E7EE
212,W 16 St & The High Line,40.74334935,-74.00681753,4,4,#7D84BD
216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,0,1,#B1F00F
217,Old Fulton St,40.70277159,-73.99383605,0,1,#F4BECA
218,Gallatin Pl & Livingston St,40.69028437,-73.98707105,1,0,#5F5A67
223,W 13 St & 7 Ave,40.73781509,-73.99994661,5,1,#AD6F29
224,Spruce St & Nassau St,40.71146364,-74.00552427,2,0,#57B84A
229,Great Jones St,40.72743423,-73.99379025,6,2,#C5DF18
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,2,2,#75CCA7
237,E 11 St & 2 Ave,40.73047309,-73.98672378,6,5,#052A42
