station_id,name,lat,lon,bikes_out,bikes_in,color
72,W 52 St & 11 Ave,40.76727216,-73.99392888,3,4,#2EBC0A
79,Franklin St & W Broadway,40.71911552,-74.00666661,4,0,#701512
82,St James Pl & Pearl St,40.71117416,-74.00016545,0,2,#7A0135
83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,10,1,#270053
116,W 17 St & 8 Ave,40.74177603,-74.00149746,9,9,#3EB0C7
119,Park Ave & St Edwards St,40.69608941,-73.97803415,0,1,#970BA1
120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,0,1,#B4A2CE
127,Barrow St & Hudson St,40.73172428,-74.00674436,4,2,#C1769C
137,E 56 St & Madison Ave,40.761628,-73.972924,2,1,#186647
143,Clinton St & Joralemon St,40.69239502,-73.99337909,0,2,#A60738
146,Hudson St & Reade St,40.71625008,-74.0091059,0,1,#D17399
147,Greenwich St & Warren St,40.71542197,-74.01121978,10,5,#24CC20
150,E 2 St & Avenue C,40.7208736,-73.98085795,3,3,#2E2C49
151,Cleveland Pl & Spring St,40.7221037867,-73.9972490072,13,1,#85957C
152,Warren St & Church St,40.71473993,-74.00910627,3,0,#BD36C7
157,Henry St & Atlantic Ave,40.69089272,-73.99612349,2,4,#BA3603
160,E 37 St & Lexington Ave,40.748238,-73.978311,3,4,#FA0F7D
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,13,6,#CBB2AD
164,E 47 St & 2 Ave,40.75323098,-73.97032517,5,5,#CE8A74
167,E 39 St & 3 Ave,40.7489006,-73.97604882,2,1,#546566
168,W 18 St & 6 Ave,40.73971301,-73.99456405,5,4,#3A40B8
173,Broadway & W 49 St,40.76064679,-73.98442659,3,4,#0E99A9
174,E 25 St & 1 Ave,40.7381765,-73.97738662,6,8,#236335
195,Liberty St & Broadway,40.70905623,-74.01043382,1,0,#ECEF7A
212,W 16 St & The High Line,40.74334935,-74.00681753,2,2,#44B998
223,W 13 St & 7 Ave,40.73781509,-73.99994661,4,7,#5ED859
224,Spruce St & Nassau St,40.71146364,-74.00552427,3,2,#75FD11
229,Great Jones St,40.72743423,-73.99379025,11,0,#21B845
232,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,0,1,#890D0B
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,11,13,#465A77
237,E 11 St & 2 Ave,40.73047309,-73.98672378,4,5,#2A65E2
238,Bank St & Washington St,40.7361967,-74.00859207,2,4,#63D4EA
241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,0,3,#0CAFBC
242,Flushing Ave & Carlton Ave,40.69788349,-73.97350332,1,0,#EEE18E
243,Fulton St & Rockwell Pl,40.688226,-73.979382,3,1,#1E3E9B
244,Willoughby Ave & Hall St,40.69196035,-73.96536851,1,0,#3C5441
247,Perry St & Bleecker St,40.73535398,-74.00483091,1,3,#60DF8A
249,Harrison St & Hudson St,40.71870987,-74.0090009,1,1,#20B94F
250,Lafayette St & Jersey St,40.72456089,-73.99565293,3,2,#298C7C
251,Mott St & Prince St,40.72317958,-73.99480012,8,4,#970CAE
252,MacDougal St & Washington Sq,40.73226398,-73.99852205,6,7,#0FB7A6
253,W 13 St & 5 Ave,40.73543934,-73.99453948,9,0,#2B9EC5
254,W 11 St & 6 Ave,40.73532427,-73.99800419,5,5,#B218C2
257,Lispenard St & Broadway,40.71939226,-74.00247214,4,1,#FA3BCA
258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,0,1,#8A3FA5
259,South St & Whitehall St,40.70122128,-74.01234218,1,2,#C6AE84
260,Broad St & Bridge St,40.70365182,-74.01167797,1,1,#A99674
261,Johnson St & Gold St,40.69474881,-73.98362464,1,6,#5A47EC
262,Washington Park,40.6917823,-73.9737299,0,3,#1A7388
263,Elizabeth St & Hester St,40.71729,-73.996375,1,5,#D6D3CD
264,Maiden Ln & Pearl St,40.70706456,-74.00731853,0,2,#1FC42E
