station_id,name,lat,lon,bikes_out,bikes_in,color
72,W 52 St & 11 Ave,40.76727216,-73.99392888,1,0,#1CDB86
79,Franklin St & W Broadway,40.71911552,-74.00666661,1,0,#402653
82,St James Pl & Pearl St,40.71117416,-74.00016545,0,1,#D8479B
116,W 17 St & 8 Ave,40.74177603,-74.00149746,2,1,#1CA2FF
127,Barrow St & Hudson St,40.73172428,-74.00674436,1,2,#A0D72C
137,E 56 St & Madison Ave,40.761628,-73.972924,3,2,#A4927B
143,Clinton St & Joralemon St,40.69239502,-73.99337909,0,1,#76BA5C
147,Greenwich St & Warren St,40.71542197,-74.01121978,1,0,#F5E751
150,E 2 St & Avenue C,40.7208736,-73.98085795,0,1,#BAD3EC
151,Cleveland Pl & Spring St,40.7221037867,-73.9972490072,2,4,#FF66C4
152,Warren St & Church St,40.71473993,-74.00910627,1,1,#8F1848
157,Henry St & Atlantic Ave,40.69089272,-73.99612349,0,1,#195B4E
160,E 37 St & Lexington Ave,40.748238,-73.978311,5,1,#1AD6A3
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,1,2,#C7AB5B
167,E 39 St & 3 Ave,40.7489006,-73.97604882,1,0,#B49425
168,W 18 St & 6 Ave,40.73971301,-73.99456405,2,2,#77C983
173,Broadway & W 49 St,40.76064679,-73.98442659,2,0,#929C82
174,E 25 St & 1 Ave,40.7381765,-73.97738662,0,1,#56A06D
195,Liberty St & Broadway,40.70905623,-74.01043382,2,0,#ECB946
212,W 16 St & The High Line,40.74334935,-74.00681753,2,1,#B02939
223,W 13 St & 7 Ave,40.73781509,-73.99994661,1,5,#E9F428
224,Spruce St & Nassau St,40.71146364,-74.00552427,0,2,#C8B9E8
225,W 14 St & The High Line,40.74195138,-74.00803013,1,0,#0DA8AA
228,E 48 St & 3 Ave,40.7546011,-73.97187886,1,1,#674C83
229,Great Jones St,40.72743423,-73.99379025,7,5,#B32694
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,2,2,#8A243A
237,E 11 St & 2 Ave,40.73047309,-73.98672378,1,1,#B609C0
238,Bank St & Washington St,40.7361967,-74.00859207,1,0,#270CAD
242,Flushing Ave & Carlton Ave,40.69788349,-73.97350332,3,0,#AE6C95
247,Perry St & Bleecker St,40.73535398,-74.00483091,1,0,#44155E
249,Harrison St & Hudson St,40.71870987,-74.0090009,2,0,#0333DA
250,Lafayette St & Jersey St,40.72456089,-73.99565293,2,3,#DFB19F
251,Mott St & Prince St,40.72317958,-73.99480012,2,1,#CC1DDB
252,MacDougal St & Washington Sq,40.73226398,-73.99852205,0,1,#801C81
253,W 13 St & 5 Ave,40.73543934,-73.99453948,1,0,#11697C
257,Lispenard St & Broadway,40.71939226,-74.00247214,1,1,#28D986
259,South St & Whitehall St,40.70122128,-74.01234218,1,0,#9D0A89
261,Johnson St & Gold St,40.69474881,-73.98362464,2,0,#6C2451
262,Washington Park,40.6917823,-73.9737299,1,0,#6018F0
263,Elizabeth St & Hester St,40.71729,-73.996375,0,1,#85E93B
264,Maiden Ln & Pearl St,40.70706456,-74.00731853,1,0,#5CC821
265,Stanton St & Chrystie St,40.72229346,-73.99147535,1,1,#A14C78
