start_station,start_lat,start_lon,end_station,end_lat,end_lon
469,40.76344058,-73.98268129,312,40.722055,-73.989111
546,40.74444921,-73.98303529,265,40.72229346,-73.99147535
263,40.71729,-73.996375,315,40.70355377,-74.00670227
251,40.72317958,-73.99480012,461,40.73587678,-73.98205027
236,40.7284186,-73.98713956,2012,40.739445,-73.976806
355,40.71602118,-73.99974372,303,40.72362738,-73.99949601
312,40.722055,-73.989111,499,40.76915505,-73.98191841
394,40.72521311,-73.97768752,347,40.72873888,-74.00748842
116,40.74177603,-74.00149746,383,40.735238,-74.000271
347,40.72873888,-74.00748842,161,40.72917025,-73.99810231
293,40.73028666,-73.9907647,383,40.735238,-74.000271
439,40.7262807,-73.98978041,326,40.72953837,-73.98426726
470,40.74345335,-74.00004031,509,40.7454973,-74.00197139
284,40.73901691,-74.00263761,328,40.72405549,-74.00965965
404,40.7405826,-74.00550867,128,40.72710258,-74.00297088
530,40.771522,-73.990541,450,40.76227205,-73.98788205
369,40.73224119,-74.00026394,357,40.73261787,-73.99158043
537,40.74025878,-73.98409214,475,40.73524276,-73.98758561
297,40.734232,-73.986923,2003,40.73416059,-73.98024289
415,40.7047177,-74.00926027,316,40.70955958,-74.00653609
444,40.7423543,-73.98915076,265,40.72229346,-73.99147535
247,40.73535398,-74.00483091,251,40.72317958,-73.99480012
247,40.73535398,-74.00483091,251,40.72317958,-73.99480012
531,40.71893904,-73.99266288,433,40.72955361,-73.98057249
242,40.69788349,-73.97350332,430,40.7014851,-73.98656928
237,40.73047309,-73.98672378,293,40.73028666,-73.9907647
412,40.7158155,-73.99422366,467,40.68312489,-73.97895137
294,40.73049393,-73.9957214,475,40.73524276,-73.98758561
444,40.7423543,-73.98915076,497,40.73704984,-73.99009296
540,40.74147286,-73.98320928,472,40.7457121,-73.98194829
435,40.74173969,-73.99415556,446,40.74487634,-73.99529885
403,40.72502876,-73.99069656,317,40.72453734,-73.98185424
350,40.71559509,-73.9870295,291,40.713126,-73.984844
527,40.744023,-73.976056,312,40.722055,-73.989111
318,40.75320159,-73.9779874,466,40.74395411,-73.99144871
516,40.75206862,-73.96784384,536,40.74144387,-73.97536082
498,40.74854862,-73.98808416,2006,40.76590936,-73.97634151
402,40.7403432,-73.98955109,515,40.76009437,-73.99461843
509,40.7454973,-74.00197139,442,40.746647,-73.993915
509,40.7454973,-74.00197139,442,40.746647,-73.993915
472,40.7457121,-73.98194829,237,40.73047309,-73.98672378
479,40.76019252,-73.9912551,468,40.7652654,-73.98192338
2004,40.724399,-74.004704,263,40.71729,-73.996375
435,40.74173969,-73.99415556,254,40.73532427,-73.99800419
263,40.71729,-73.996375,504,40.73221853,-73.98165557
174,40.7381765,-73.97738662,498,40.74854862,-73.98808416
432,40.72621788,-73.98379855,285,40.73454567,-73.99074142
394,40.72521311,-73.97768752,504,40.73221853,-73.98165557
147,40.71542197,-74.01121978,329,40.72043411,-74.01020609
350,40.71559509,-73.9870295,461,40.73587678,-73.98205027
